Date,Close_
2019-04-10,271.579987
2019-04-11,271.899994
2019-04-12,271.859985
2019-04-15,272.220001
2019-04-16,271.429993
2019-04-17,269.450012
2019-04-18,270.570007
2019-04-22,272.209991
2019-04-23,278.48999
2019-04-24,275.450012
2019-04-25,277.660004
2019-04-26,281.959991
2019-04-29,286.140015
2019-04-30,289.25
2019-05-01,283.350006
2019-05-02,279.640015
2019-05-03,285.579987
2019-05-06,283.660004
2019-05-07,277.070007
2019-05-08,276.769989
2019-05-09,275.790009
2019-05-10,278.480011
2019-05-13,267.700012
2019-05-14,271.859985
2019-05-15,276.820007
2019-05-16,283.549988
2019-05-17,279.850006
2019-05-20,275.450012
2019-05-21,278.070007
2019-05-22,281.820007
2019-05-23,274.25
2019-05-24,274.769989
2019-05-28,278.25
2019-05-29,273.380005
2019-05-30,274.51001
2019-05-31,270.899994
2019-06-03,259.029999
2019-06-04,268.709991
2019-06-05,272.859985
2019-06-06,274.799988
2019-06-07,278.160004
2019-06-10,280.339996
2019-06-11,275.98999
2019-06-12,276.839996
2019-06-13,276.299988
2019-06-14,274.279999
2019-06-17,275.600006
2019-06-18,276.779999
2019-06-19,291.209991
2019-06-20,302.109985
2019-06-21,299.329987
2019-06-24,299.869995
2019-06-25,287.970001
2019-06-26,288.720001
2019-06-27,293.230011
2019-06-28,294.649994
2019-07-01,300.970001
2019-07-02,301.390015
2019-07-03,305.700012
2019-07-05,303.980011
2019-07-08,302.920013
2019-07-09,304.200012
2019-07-10,306.980011
2019-07-11,307.600006
2019-07-12,309.420013
2019-07-15,308.76001
2019-07-16,305.700012
2019-07-17,309.390015
2019-07-18,310.079987
2019-07-19,306.869995
2019-07-22,308.549988
2019-07-23,307.880005
2019-07-24,310.269989
2019-07-25,308.730011
2019-07-26,311.269989
2019-07-29,307.220001
2019-07-30,303.640015
2019-07-31,298.859985
2019-08-01,298.440002
2019-08-02,293.709991
2019-08-05,280.359985
2019-08-06,286.209991
2019-08-07,289.019989
2019-08-08,297.779999
2019-08-09,294.829987
2019-08-12,288.649994
2019-08-13,293.170013
2019-08-14,283.660004
2019-08-15,282.709991
2019-08-16,287.450012
2019-08-19,287.970001
2019-08-20,285.709991
2019-08-21,291.529999
2019-08-22,287.690002
2019-08-23,282.440002
2019-08-26,288.73999
2019-08-27,289.450012
2019-08-28,282.130005
2019-08-29,286.630005
2019-08-30,284.51001
2019-09-03,282.450012
2019-09-04,284.600006
2019-09-05,287.75
2019-09-06,284.940002
2019-09-09,279.299988
2019-09-10,276.140015
2019-09-11,277.779999
2019-09-12,278.019989
2019-09-13,278.350006
2019-09-16,282.929993
2019-09-17,284.690002
2019-09-18,279.720001
2019-09-19,281.26001
2019-09-20,277.910004
2019-09-23,277.440002
2019-09-24,272.470001
2019-09-25,277.429993
2019-09-26,283.809998
2019-09-27,277.540009
2019-09-30,276.25
2019-10-01,272.709991
2019-10-02,266.660004
2019-10-03,272.399994
2019-10-04,276.959991
2019-10-07,276.899994
2019-10-08,270.829987
2019-10-09,274.269989
2019-10-10,274.980011
2019-10-11,278.290009
2019-10-14,277.779999
2019-10-15,279.390015
2019-10-16,272.700012
2019-10-17,269.23999
2019-10-18,265.519989
2019-10-21,266.839996
2019-10-22,261.089996
2019-10-23,261.320007
2019-10-24,269.700012
2019-10-25,270.980011
2019-10-28,271.350006
2019-10-29,271.450012
2019-10-30,278.410004
2019-10-31,277.929993
2019-11-01,277.820007
2019-11-04,277.5
2019-11-05,289.290009
2019-11-06,287.399994
2019-11-07,290.769989
2019-11-08,292.459991
2019-11-11,290.269989
2019-11-12,291.720001
2019-11-13,293.540009
2019-11-14,294.529999
2019-11-15,297.5
2019-11-18,297.160004
2019-11-19,300.600006
2019-11-20,300.100006
2019-11-21,298.799988
2019-11-22,299.299988
2019-11-25,305.279999
2019-11-26,307.899994
2019-11-27,309.059998
2019-11-29,309.529999
2019-12-02,302.75
2019-12-03,303.910004
2019-12-04,302.51001
2019-12-05,303.029999
2019-12-06,306.230011
2019-12-09,307.049988
2019-12-10,304.170013
2019-12-11,303.73999
2019-12-12,305.959991
2019-12-13,317.940002
2019-12-16,323.799988
2019-12-17,322.850006
2019-12-18,324.380005
2019-12-19,327.630005
2019-12-20,327.609985
2019-12-23,328.950012
2019-12-24,329.640015
2019-12-26,331.200012
2019-12-27,330.790009
2019-12-30,328.339996
2019-12-31,329.809998
2020-01-02,334.429993
2020-01-03,331.809998
2020-01-06,333.709991
2020-01-07,333.390015
2020-01-08,337.869995
2020-01-09,340.450012
2020-01-10,339.809998
2020-01-13,345.630005
2020-01-14,344.630005
2020-01-15,342.940002
2020-01-16,345.380005
2020-01-17,349.73999
2020-01-21,350.0
2020-01-22,350.059998
2020-01-23,351.76001
2020-01-24,351.369995
2020-01-27,346.899994
2020-01-28,354.630005
2020-01-29,351.660004
2020-01-30,356.73999
2020-01-31,351.140015
2020-02-03,358.0
2020-02-04,366.73999
2020-02-05,365.549988
2020-02-06,367.459991
2020-02-07,366.089996
2020-02-10,370.0
2020-02-11,369.279999
2020-02-12,374.290009
2020-02-13,374.839996
2020-02-14,379.670013
2020-02-18,378.850006
2020-02-19,383.279999
2020-02-20,378.959991
2020-02-21,372.950012
2020-02-24,357.410004
2020-02-25,347.799988
2020-02-26,351.339996
2020-02-27,337.519989
2020-02-28,345.119995
2020-03-02,360.279999
2020-03-03,348.339996
2020-03-04,363.850006
2020-03-05,351.029999
2020-03-06,336.769989
2020-03-09,305.790009
2020-03-10,332.380005
2020-03-11,315.230011
2020-03-12,285.0
2020-03-13,335.5
2020-03-16,286.029999
2020-03-17,311.809998
2020-03-18,294.609985
2020-03-19,307.51001
2020-03-20,295.339996
2020-03-23,307.269989
2020-03-24,310.0
2020-03-25,305.910004
2020-03-26,322.670013
2020-03-27,305.829987
2020-03-30,318.390015
2020-03-31,318.23999
2020-04-01,301.209991
2020-04-02,303.959991
2020-04-03,293.609985
2020-04-06,319.130005
2020-04-07,308.929993
2020-04-08,317.179993
2020-04-09,318.700012
2020-04-13,320.649994
2020-04-14,340.769989
2020-04-15,332.549988
2020-04-16,342.700012
2020-04-17,344.109985
2020-04-20,344.880005
2020-04-21,328.98999
2020-04-22,336.769989
2020-04-23,335.369995
2020-04-24,344.100006
2020-04-27,348.5
2020-04-28,333.450012
2020-04-29,349.170013
2020-04-30,353.640015
2020-05-01,343.839996
2020-05-04,349.109985
2020-05-05,356.130005
2020-05-06,362.519989
2020-05-07,366.779999
2020-05-08,367.51001
2020-05-11,371.420013
2020-05-12,365.100006
2020-05-13,358.559998
2020-05-14,355.390015
2020-05-15,365.299988
2020-05-18,367.970001
2020-05-19,372.200012
2020-05-20,383.630005
