COST,Costco Wholesale,Date,Open,High,Low,Close,Adj Close,Volume
COST,Costco Wholesale,2018-11-23,218.100006,221.179993,217.660004,220.059998,207.224716,1007500
COST,Costco Wholesale,2018-11-26,222.850006,223.479996,218.899994,219.449997,206.650223,2205600
COST,Costco Wholesale,2018-11-27,219.369995,223.119995,218.380005,223.009995,210.002609,2369800
COST,Costco Wholesale,2018-11-28,222.779999,230.460007,222.190002,230.339996,216.905075,2765600
COST,Costco Wholesale,2018-11-29,229.000000,231.589996,228.360001,231.000000,217.526581,1478700
COST,Costco Wholesale,2018-11-30,231.690002,233.389999,229.699997,231.279999,217.790253,2764000
COST,Costco Wholesale,2018-12-03,230.720001,232.199997,228.210007,232.080002,218.543610,2481500
COST,Costco Wholesale,2018-12-04,232.110001,233.300003,225.559998,226.350006,213.147827,3418600
COST,Costco Wholesale,2018-12-06,227.940002,233.860001,226.600006,233.199997,219.598267,4029800
COST,Costco Wholesale,2018-12-07,233.149994,233.809998,223.029999,224.860001,211.744705,2881900
COST,Costco Wholesale,2018-12-10,224.539993,225.199997,219.110001,222.660004,209.673004,2650000
COST,Costco Wholesale,2018-12-11,225.119995,227.250000,224.000000,226.500000,213.289047,2466800
COST,Costco Wholesale,2018-12-12,228.350006,230.449997,227.070007,227.800003,214.513229,2891400
COST,Costco Wholesale,2018-12-13,228.839996,229.619995,225.479996,226.509995,213.298462,2170200
COST,Costco Wholesale,2018-12-14,218.000000,219.000000,205.509995,207.059998,194.982941,8822300
COST,Costco Wholesale,2018-12-17,206.679993,208.000000,200.660004,202.229996,190.434616,4739400
COST,Costco Wholesale,2018-12-18,203.089996,204.669998,201.570007,202.990005,191.150330,3308500
COST,Costco Wholesale,2018-12-19,203.500000,207.000000,199.860001,201.410004,189.662476,3369600
COST,Costco Wholesale,2018-12-20,200.330002,200.699997,193.679993,197.130005,185.632111,4250900
COST,Costco Wholesale,2018-12-21,197.160004,200.699997,194.320007,194.520004,183.174347,5080200
COST,Costco Wholesale,2018-12-24,193.899994,195.330002,189.800003,189.990005,178.908569,2031700
COST,Costco Wholesale,2018-12-26,190.820007,198.779999,189.509995,198.630005,187.044632,3268800
COST,Costco Wholesale,2018-12-27,196.960007,201.130005,193.960007,201.080002,189.351715,2705900
COST,Costco Wholesale,2018-12-28,201.820007,204.949997,199.589996,202.039993,190.255722,2037800
COST,Costco Wholesale,2018-12-31,203.380005,204.389999,201.380005,203.710007,191.828323,1729400
COST,Costco Wholesale,2019-01-02,200.500000,205.100006,199.850006,204.759995,192.817017,2143100
COST,Costco Wholesale,2019-01-03,203.699997,205.940002,200.039993,200.419998,188.730194,2877700
COST,Costco Wholesale,2019-01-04,203.080002,207.929993,201.449997,206.240005,194.210724,2761600
COST,Costco Wholesale,2019-01-07,205.520004,209.119995,203.539993,207.000000,194.926437,2226600
COST,Costco Wholesale,2019-01-08,208.649994,209.080002,204.179993,208.550003,196.386017,2366500
COST,Costco Wholesale,2019-01-09,209.149994,211.220001,207.919998,209.899994,197.657257,1862900
COST,Costco Wholesale,2019-01-10,208.149994,210.899994,206.000000,210.639999,198.354126,2340700
COST,Costco Wholesale,2019-01-11,210.039993,211.250000,209.309998,210.509995,198.231674,1861100
COST,Costco Wholesale,2019-01-14,209.470001,210.649994,208.160004,209.000000,196.809753,1523100
COST,Costco Wholesale,2019-01-15,210.039993,211.339996,209.080002,211.029999,198.721375,1681900
COST,Costco Wholesale,2019-01-16,211.460007,211.460007,209.500000,210.179993,197.920944,1455000
COST,Costco Wholesale,2019-01-17,209.869995,211.649994,209.649994,211.460007,199.126266,1517100
COST,Costco Wholesale,2019-01-18,212.559998,214.160004,211.770004,213.589996,201.132050,2115400
COST,Costco Wholesale,2019-01-22,213.000000,215.559998,210.800003,212.399994,200.011429,3310800
COST,Costco Wholesale,2019-01-23,213.000000,214.850006,210.000000,212.089996,199.719528,2220200
COST,Costco Wholesale,2019-01-24,212.389999,212.389999,208.899994,210.309998,198.043396,1994400
COST,Costco Wholesale,2019-01-25,212.029999,212.320007,208.740005,209.070007,196.875687,2252300
COST,Costco Wholesale,2019-01-28,208.679993,210.789993,207.309998,210.770004,198.476532,1999400
COST,Costco Wholesale,2019-01-29,210.320007,210.539993,208.570007,210.309998,198.043396,1636500
COST,Costco Wholesale,2019-01-30,210.479996,212.169998,209.320007,211.350006,199.022736,1589800
COST,Costco Wholesale,2019-01-31,211.139999,214.880005,209.720001,214.630005,202.111420,4341100
COST,Costco Wholesale,2019-02-01,214.000000,215.000000,209.369995,210.270004,198.005692,3453700
COST,Costco Wholesale,2019-02-04,210.699997,211.190002,207.899994,211.179993,198.862595,1630300
COST,Costco Wholesale,2019-02-05,211.490005,212.520004,209.639999,211.610001,199.267548,2074500
COST,Costco Wholesale,2019-02-06,212.259995,212.259995,210.479996,211.600006,199.258148,1618800
COST,Costco Wholesale,2019-02-07,210.070007,210.100006,206.270004,209.050003,197.388565,2526600
COST,Costco Wholesale,2019-02-08,207.830002,208.490005,205.750000,207.750000,196.161057,2013700
COST,Costco Wholesale,2019-02-11,208.649994,208.919998,206.759995,208.720001,197.076981,2376600
COST,Costco Wholesale,2019-02-12,210.059998,212.750000,209.259995,211.899994,200.079605,2091200
COST,Costco Wholesale,2019-02-13,212.229996,213.509995,211.300003,212.800003,200.929352,1703000
COST,Costco Wholesale,2019-02-14,212.000000,214.550003,211.139999,213.839996,201.911392,1411100
